"endef","mmdef"
"release benefits","အလုပ္ထြက္မႈ ခံစားခြင့္မ်ား"
"release leave","အလုပ္ထြက္မႈခြင့္"
"release note/ order","(ပစၥည္း) ထုတ္ယူခြင့္စာ/ အမိန္႔"
"relevant","စပ္ဆိုင္ေသာ၊ ဆီေလ်ွာ္ေသာ"
"relief in the line","တိုက္ပြဲေနရာတြင္ တာဝန္လဲလွယ္ျခင္း"
"relinquishment","အလုပ္လႊဲအပ္ ရပ္စဲျခင္း"
"remarks","မွတ္ခ်က္"
"remaining under command","ကြပ္ကဲမႈေအာက္ ဆက္လက္ရွိေနေသာ"
"remainder","ႏႈိးေဆာ္စာ"
"remit(remisssion)","အျပစ္ဒဏ္ကို(လံုးဝေသာ္လည္းေကာင္း)တစ္စိတ္ေသာလည္းေကာင္း၊ပလပ္သည္"
"remote control","အေဝးထိန္း(ကိရိယာ)"
"remove","ရာထူးမွ ႏႈတ္ပယ္သည္"
"remustering","ပညာသည္အုပ္စု ေျပာင္းျခင္း"
"remustering (RV)","တပ္ခ်င္းဆံုရာ အရပ္၊ ဆံုရပ္"
"reorganisation","ျပန္လည္ ဖဲြ႕စည္းျခင္း"
"repair and recovery","ျပင္ျခင္းႏွင့္ ပစၥည္းေကာက္ျခင္း"
"repayment basis","ေနာင္ေပး စနစ္"
"repeat, repeat range","ထပ္ပစ္"
"replacement","အစားေပးျခင္း (လူ/ ပစၥည္း)၊ လူအင္အား ျဖည္႔တင္းေပးျခင္း"
"replenish","အစားျဖည္႔ျခင္း"
"reply","ျပန္စာ"
"report","အစီရင္ခံစာ"
"report centre","သတင္းပို႔ဌာန"
"report line","သတင္းပို႔မ်ဥ္း"
"reports and returns","အစီရင္ခံစာႏွင့္ ျပန္တမ္းမ်ား"
"reprimand","ျပစ္တင္ ရႈတ္ခ်ုသည္"
"reprimanded","ျပင္းထန္စြာ ျပစ္တင္ ရႈတ္ခ်သည္"
"repulse","တြန္းလွန္ပစ္ျခင္း"
"require","လိုအပ္သည္"
"requirement","လိုအပ္ခ်က္"
"requisition","အမိန္႔ႏွင့္ ငွားျခင္း"
"requisition of rivercraft","ေရယာဥ္ အမိန္႔ႏွင့္ ငွားျခင္း"
"research","သုေတသန"
"resection (map reading)","မ်ဥ္းျပင္ဆဲြနည္း (ေျမပံုဖတ္)"
"reserve list","အရံစာရင္း"
"reserve ration","အရံရိကၡာ"
"reservist pension","အရံ အမူထမ္း အၿငိမ္းစားလစာ"
"resignation","ႏႈတ္ထြက္ျခင္း"
"restricted","ကန္႔သတ္"
"resubmit","ျပန္လည္ တင္ျပျခင္း"
"retire (tactical)","ေနာက္သို႔ ခြာျခင္း"
"retiring gratuity","အၿငိမ္းစားဆုေငြ"
"returnable container","ျပန္္ေပးရမည္႕ ပံုးခြံ"
"returns","ျပန္တမ္း"
"reverse slopes","ေနာက္ဆင္ေျခေလွ်ာ"
"reversion","ရာထူး ေလွ်ာ႔ခ်ျခင္း"
"revetment","ေဘာင္ခတ္ျခင္း"
"review","ေဝဖန္ စိစစ္သည္"
"revised estimates","ျပင္ဆင္ထားသည္႔ ခန္႔မွန္းေျခ"
"revision","ျပန္လည္စစ္ေဆးျခင္း"
"revision of finding and sentence","ေကာက္ခ်က္ႏွင့္ စီရင္ခ်က္ကို စစ္ေဆး ျပင္ဆင္ျခင္း"
"revision of sentence","စီရင္ခ်က္ကို စစ္ေဆးျပင္ဆင္ျခင္း"
"riband (bridging)","ဖိတန္း"
"ricochet","ူက်ည္ပ်ံ"
"rifling","ေျပာင္းရစ္"
"rim (ammunition)","က်ည္ခြံအနား"
"rim fire","အနားရိုက္က်ည္"
"remless (ammunition)","အနားမဲ့က်ည္"
"river head","ျမစ္လမ္းဆံုး"
"road capacity","လမ္း၏ ယာဥ္လက္ခံႏႈန္း"
"road head","ကားလမ္းဆံု"
"road net","လမ္း ကြန္ခ်ာမ်ား"
"roster","အလွည္႔က်စာရင္း"
"rocket (artillery)","ဒံုး"
"rout","တပ္လန္ျခင္း"
"route restrictions","သြားလာေရး ကန္႔သတ္ခ်က္မ်ား"
"á¯á¯á¯route of advance (lines of advance)","ခ်ီတက္ရာ လမ္းေၾကာင္းမ်ား"
"routine/normal","ုသာမန္ လုပ္ရိုး လုပ္စဥ္"
"routine orders","သာမန္ အမိန္႕မ်ား"
"rule","နည္းဥပေဒ"
"S","Sierra"
"sabotage","လ်ွိဳ႕ဝွက္ ဖ်က္ဆီးျခင္း"
"safely angle","ရန္ကင္း ေထာင့္"
"safely fuze","ေဘးကင္း စနက္ႀကိဳး"
"salients","စစ္စြယ္"
"salvage(N)","ပစၥည္းပ်က္"
"salvage(V)","ပစၥည္းပ်က္စုေဆာင္းျခင္း"
"salvo","ၿပိဳင္ပစ္"
"sampling","နမူနာ စစ္ျခင္း"
"sand table/ sand model","သဲေျမပံု"
"scale","ႏႈန္းထား"
"scale(map)","စေကး(ေျမပံု)"
"schdule","ဇယား"
"schdule time","သတ္မွတ္ခ်ိန္"
"science apparatus","သိပၸံပညာကိရိယာ"
"scorch earth","ေျမလွန္စနစ္"
"scout","ေရွးေျပးကင္းေထာက္"
"screen","ကာကင္း"
"search light","ဆလိုက္မီး၊ မီးေမာင္း"
"season","ရာသီ"
"second line ammunition/ stores","ဒုတိယအဆင့္ ခဲယမ္းမီးေက်ာက္/ ပစၥည္း"
"second line task","ဒုတိယအဆင့္ လုပ္ငန္း"
"second line transport","ဒုတိယအဆင့္ ပို႕ေဆာင္ေရးယာဥ္"
"secondary","အဓိကမဟုတ္ေသာ"
"secondment","လႊဲေျပာင္း အမႈထမ္းေစျခင္း"
"secret","လ်ွိဳ႕ဝွက္"
"section (law)","ပုဒ္မ(ဥပေဒ)"
"section (within a workshop)","ဌာနစိတ္"
"section officer","ဌာနစိတ္ အရာရွိ"
"sections of front","စစ္မ်က္ႏွာစိတ္မ်ား"
"sectors","စစ္မ်က္ႏွာ အကန္႔မ်ား"
"security","လံုၿခံဳေရး"
"security deposit","အာမခံေငြ"
"security reports","အစီရင္ခံစာ"
"sedition","လႈံ႕ေဆာ္ျခင္း(မတရား)"
"segregated  stock","သီသန္႔စာရင္း"
"self inflicted injury","ကိုယ္တိုင္ျပဳ ဒဏ္ရာ"
"self propelled (SP artillery)","ယႏ ၱယား အေျမာက္"
"seminar","ႏွီးေႏွာပြဲ"
"senior medical","အထက္တန္း ေဆးမွဴး"
"sentence","စီရင္ခ်က္"
"sentry","ကင္းေစာင့္"
"separate","သီးျခား"
"service book"," အမႈထမ္း စာအုပ္"
"service gratuity","အမႈထမ္း ဆုေငြ"
"service pension","အမႈထမ္း အၿငိမ္းစားလစာ"
"serviceable","သံုးႏုိင္ေသာ (ပစၥည္း)"
"services","ဝန္ထမ္း တပ္မ်ား"
"set aside(legal)","ပယ္ဖ်က္သည္ (ဥပေဒ)"
"set off","ႏွိ္မ္ယူျခင္း"
"sheet metal worker","သတၱဳျပားကိုင္"
"shelters(air-raid)","ဗံုးခိုျခင္း"
"shipment","သေဘၤာတင္ျခင္း"
"shock absorber (buffer)","ဒဏ္ခံ"
"shock effect","ျပင္းထန္ေသာ တိုက္စြမ္းအား"
"shock troops(strom troop)","မုန္တိုင္းတပ္မ်ား"
"shock service commission","သက္တမ္းတို ျပန္တမ္းဝင္"
"storage","အလို၊ အေလ်ာ့၊ ပ်က္လပ္"
"shrapnel","ဗံုးဆံစ"
"siege","ဝိုင္းပိတ္ တပ္စြဲထားျခင္း"
"singal dispatch service(SDS)","အခ်က္ျပ ေခ်ာစာပို႕"
"sigh rule","ၾကည့္ မ်ဥ္းတံ"
"sign post","ေၾကာ္ျငာဘုတ္တိုင္"
"signature","ထိုးၿမဲလက္မွတ္"
"slient attack","ဆိတ္ဆိတ္ တိုက္ခိုက္မႈ"
"silhouette","အရိပ္ပံု"
"simple procedure","ရိုးရိုး လုပ္ငန္းစည္းမ်ဥ္း၊ လြယ္ကူေသာ လုပ္ငန္းစည္းမ်ဥ္း"
"sitting","ေနရာေရြးျခင္း"
"skeleton exercise","အက်ဥ္းခ်ံဳး ေလ့က်င့္ခန္း"
"skeleton staff","အက်ဥ္းခ်ံဳး ရံုးအဖြဲ႕"
"sky line","ေကာင္းကင္ေနာက္ခံ"
"slide rule","သခ်ၤာေလွ်ာတံ"
"sling","လြယ္ႀကိဳး"
"slit trench","က်င္း"
"smoke screen","မိႈင္းကာ"
"snipers","လက္ေျဖာင့္ တပ္သား"
"sniperscope","လက္ေျဖာင့္ တပ္သားသံုး မွန္ေျပာင္း"
"solve","ေျဖရွင္းသည္"
"sound method","အသံျဖင့္ ဆက္သြယ္ျခင္းနည္း"
"sound ranging","အသံျဖင့္ ေနရာရွာျခင္း"
"source","ပင္ရင္း"
"special emergency commission","အထူးအေရးေပၚ ျပန္တမ္းဝင္"
"special returns","အထူးျပန္တမ္းမ်ား"
"special short service commission","အထူး သက္တမ္းတိ ုျပန္တမ္းဝင္"
"specific authority","အတိအက် အမိန္႕အာဏာ"
"specification","အေသးစိတ္ သတ္မွတ္ခ်က္"
"specimen signature","နမူနာ ထိုးၿမဲလက္မွတ္"
"sports officer","အားကစား အရာရွိ"
"spot check","ကြက္ၾကား စစ္ေဆးျခင္း"
"staff (military)","ဦးစီးအဖြဲ႕"
"staff captain (SC)","ဦးစီး ဗိုလ္ႀကီး"
"staff officer(SO)","ဦးစီး အရာရွိ"
"staff tables","ဦးစီး ဇယားမ်ား"
"staggered formation","မညီမညာ တပ္ျဖန္႔ခြဲ႕မႈ"
"staging  area","စခန္းေထာက္ ေနရာ"
"stalemate","စစ္ေမ်ာျခင္း"
"stalking","သားေကာင္လိုက္နည္း"
"stand down","ၿပီးေစ"
"stand by","အရံသင့္ေန"
"stand to","အသင့္ ေနရာယူ"
"standing army","အၿမဲတမ္းၾကည္းတပ္"
"standing order","တည္ၿမဲ အမိန္႔"
"standing strength","အၿမဲတမ္း တပ္အင္အား"
"start line(SL)","စမ်ဥ္း"
"static defence","ခံစစ္ေသ"
"static headquarter","အေျခစိုက္ ဌာနခ်ဳပ္"
"stationary target","ရပ္တည္ ပစ္မွတ္"
"statistic","သရုပ္ျပ ဂဏန္း"
"step up set","ဆင့္တိုး ဆက္သြယ္ေရးစက္"
"sterling expenditure","စတာလင္ ေငြသံုးစာရင္း"
"stock pile","အပို သိုေလွာင္ထားျခင္း"
"stockade","သစ္တပ္"
"stoppages","ရပ္စဲျခင္းမ်ား"
"stoppages of pay and allowance","လစာႏွင့္ ေထာက္ပံ့ေၾကးမ်ား ရပ္စဲထားျခင္း"
"stores","ပစၥည္း"
"stores group","ပစၥည္းစု"
"storeman","ပစၥည္းထိန္း"
"store section","ပစၥည္းထိန္း ဌာနစိတ္"
"strafing","ေလယာဥ္မွ စက္ေသနတ္ျဖင့္ ပစ္ျခင္း"
"stragglers","တိုက္ပြဲေျပး ကြဲျပားက်န္ရစ္သူမ်ား"
"stratagem","ဥာဏ္ဆင္မႈ"
"strategic materials","စစ္ပရိယာယ္ေရးရာ ပစၥည္း"
"strategical front","စစ္ပရိယာယ္၏ မ်က္ႏွာစာ"
"strategy","စစ္ပရိယာယ္"
"strength return","အင္အား ျပန္တမ္း"
"strength statement","လူအင္အား စာရင္း"
"stretcher bearers","လူနာသယ္ စစ္သည္"
"striking forces","လက္နက္ကိုင္ တပ္မ်ား"
"strong position/ point","အခိုင္အမာ ေနရာ"
"sub base (survey)","မ်ဥ္းရွင္"
"sub head","ေခါင္းစဥ္လတ္"
"subject","ကိစၥ၊ အေၾကာင္းအရာ၊ ဘာသာရပ္"
"submit","တင္ျပသည္"
"subborinate formation","လက္ေအာက္ခံ တပ္ဖြဲ႕"
"subsequent transmission","ဆက္လက္ အသံလႊင့္ခ်က္"
"substantive","မူလ"
"sub unit","တပ္ အစိတ္အပိုင္းမ်ား"
"subversion","အတြင္း လႈိက္ၿဖိဳျခင္း"
"success signal","ေအာင္ျမင္ေၾကာင္း အခ်က္ျပခ်က္၊ ေအာင္အခ်က္ျပ"
"suggestion","အႀကံေပးခ်က္"
"suitability","သင့္ေတာ္ျခင္း"
"summary disposal","ကိုယ္ပိုင္အာဏာျဖင့္ စီရင္ျခင္း"
"summary of evidence","သက္ေသခံ အက်ဥ္းခ်ဳပ္"
"summary of evidence (addition)","ထပ္မံျဖည့္စြက္ မွတ္ယူေသာ သက္ေသခံ အက်ဥ္းခ်ဳပ္"
"superimpose","ထပ္ပိုးပစ္"
"supervisor","ႀကီးၾကပ္သူ"
"supplement","ျဖည့္စြက္ျခင္း"
"supply point (sup P)","ေထာက္ပံ့ေရး တပ္ဆြယ္"
"supply point(field admistrative)","ရိကၡာေဝစခန္း"
"supporting administrative units","အကူ အုပ္ခ်ဳပ္မႈတပ္မ်ား"
"supporting arms","လက္ရံုး တပ္မ်ား"
"supporting forces","အကူ တပ္မ်ား"
"supporting formation","အကူ တပ္ဖြဲ႕မ်ား"
"supporting weapons","အကူ လက္နက္ႀကီးမ်ား"
"suppress","ႏွိမ္နင္းျခင္း"
"surface travel","ကုန္းလမ္းေရလမ္း"
"surplus","အပို"
"surprise","အငိုက္ဖမ္းျခင္း"
"surrender","လက္နက္ခ်"
"surround","ဝိုင္းထားျခင္း"
"suspend from duty, suspension","ရာထူးမွ ေခတၱခ်ထားျခင္း"
"suspense accout","ယာေငြ စာရင္း"
"suspension of sentences","အျပစ္ဒဏ္ဆိုင္းထားျခင္း"
"sustained fire","ဆက္တိုက္ပစ္ခတ္ျခင္း"
"swear","က်မ္းသစၥာ က်ိန္ဆိုသည္"
"switch(engineer)","ရွင္းပစ္"
"syllabus","သင္ရိုး"
"synchronise","ညွိျခင္း၊ တိုက္ျခင္း"
"T","Tango"
"tactical column","တိုက္ခိုက္ေရး စစ္ေၾကာင္း"
"tactical elements","တိုက္ခိုက္ေရး အစိတ္အပိုင္း"
"tactical employment(role)","စစ္ဗ်ဴဟာနည္းအရ အသံုးျပဳျခင္း"
"tactical exercises","စစ္ဗ်ဴဟာ ေလ့က်င့္ခန္း"
"tactical exercises  without troops(TEWTS)","တပ္မဲ့ ေလ့က်င့္ခန္း"
"tactical headquarters (command post)","တိုက္ပြဲကြပ္ကဲမႈ ဌာနခ်ဳပ္"
"tactical inspection","စစ္နည္းဗ်ဴဟာအတတ္ စစ္ေဆးျခင္း"
"tactical march","တိုက္ခိုက္ရန္ ခ်ီတက္ျခင္း"
"tactical mine fields","စစ္ဗ်ဴဟာ မိုင္းကြင္းမ်ား"
"tactical net(operation net)","စစ္ဆင္မႈ စက္စု"
"tactical principle","စစ္နည္းဗ်ဴဟာ အေျခခံသေဘာတရား"
"tactical reserve (immediate or battle)","စစ္နည္းဗ်ဴဟာ အရံတပ္၊ တိုက္ပြဲ အရံတပ္"
"tactical troops/ combat troops","တိုက္ခိုက္ေရး တပ္မ်ား"
"tactics","စစ္နည္းဗ်ဴဟာ"
"tactics, minor","တိုက္နည္း"
"tailor","စက္ခ်ဳပ္သမား"
"talc","လေၾကးျပား"
"tank crews","တင့္ကား အဖြဲ႔"
"tank rally","တင့္ကား စုရပ္/ နားရပ္"
"task force","အထူးတာဝန္ တပ္ဖြဲ႕"
"task in general","အၾကမ္းဖ်င္း တာဝန္"
"task in particular","အတိအက် တာဝန္"
"teaching aid","သင္ေထာက္ကူ ပစၥည္း"
"teaching method","သင္ၾကားပို႔ေဆာင္မႈဆိုင္ရာ နည္းလမ္းမ်ား"
"teaching principle","သင္ၾကားပို႔ေဆာင္မႈဆိုင္ရာ  သေဘာတရား"
"technician","ပညာရွင္"
"technique","နိသ်ွ၊ နည္းလမ္း"
"telecommunication","ေၾကးနန္း ဆက္သြယ္ေရး"
"telecommunication section","ဆက္သြယ္ေရးကိရိယာ ဌာနစိတ္"
"tempo (of section)","အရွိန္"
"temporary","ယာယီ"
"term of agreement","စာခ်ဳပ္ဝင္ စည္းမ်ဥ္း"
"term of contract","သေဘာတူစာခ်ဳပ္ပါ စည္းမ်ဥ္းမ်ား"
"terrain","ေျမအေနအထား"
"treeitorial war","နယ္ခြဲ၍ စစ္ေဆးျခင္း"
"test mobilization","အစမ္း စစ္အေျခသို႔ ေျပာင္းျခင္း"
"testing","စစ္ေဆးျခင္း"
"testing machine","စစ္ေဆးရန္စက္"
"text","စာကိုယ္"
"text book","ျပဌာန္းခ်က္ စာအုပ္"
"textile refitter","ရြက္ဖ်င္ခ်ဳပ္"
"theater of operations","စစ္နယ္ဝွမ္း"
"thinning out","အလီလီ တပ္ႏႈတ္ျခင္း"
"time table","အခ်ိန္ဇယား"
"title","ဘြဲ႕တံဆိပ္၊ ေခါင္းစဥ္"
"to","သို႔"
"to roll up defence","ခံစစ္ ႏႈတိခမ္းလံုးျခင္း"
"top secret","ထိပ္တန္း လ်ွိဳ႕ဝွက္"
"topography","ေျမမ်က္ႏွာျပင္ အေနအထား"
"total","စုစုေပါင္း"
"total war","အၾကြင္းမဲ့စစ္"
"tour of duty","တာဝန္က် အခ်ိန္ပိုင္း"
"tours","နယ္လွည့္ျခင္း"
"tracer ammunition","လင္းက်ည္"
"track","ေတာလမ္း"
"track discipline","ေတာလမ္း စည္းကမ္း"
"track vehicles","ခ်ိန္းကား"
"tractor","ဆြဲယာဥ္(ဘီး/ ခ်ိန္း)"
"tradition","အစဥ္အလာ ထံုးတမ္း"
"traffic control","သြားလာမႈ ႀကီးၾကပ္ျခင္း"
"traffic post","သြားလာမႈ ႀကီးၾကပ္ေရး ေနရာ"
"trail","ထြင္လမ္း"
"trailer","ယာဥ္ေနာက္တြဲ"
"trainee","ပညာသင္"
"training","ေလ့က်င္ေရး"
"training grant","ေလ့က်င္ေရး ေထာက္ပံ့ေငြ"
"transfer","ေျပာင္းေရႊ႕ျခင္း"
"transfer of administrative command","အုပ္ခ်ဳပ္မႈအာဏာ ေျပာင္းေရႊ႕ျခင္း"
"transmission","အသံလႊင့္ျခင္း၊ ပို႔ေဆာင္ျခင္း"
"transport","ပို႕ေဆာင္ေရး၊ ယာဥ္"
"traverse(survey)","ေထာင့္ျဖတ္"
"trench","ကတုတ္က်င္း"
"trial","စစ္ေဆး စီရင္ျခင္း"
"trial of several accused persons(joint)","တရားခံမ်ားကို ပူးတြဲ၍ စစ္ေဆးစီရင္ျခင္း"
"trigger","ပစ္ခလုတ္"
"trip wire","ခလုတ္ႀကိဳး"
"triplicate","မူရင္းထပ္တူ သံုးေစာင္"
"tropicalised","အပူပိုင္း ဥတုခံေအာင္ ျပဳလုပ္ျခင္း"
"truce","စစ္ရပ္ဆိုင္းျခင္း"
"true copy","မိတၱဴမွန္"
"true north","မူမွန္ ေျမာက္"
"truck line","ပင္မလိုင္း"
"trustees","ထိမ္သိမ္းသူမ်ား"
"turner","တြင္ခံုကိုင္"
"turning movement","လွည့္တက္စစ္"
"turnover","အထက္ေအာက္ ပစၥည္းလွန္ျခင္း၊ လွည့္သံုးျခင္း"
"turret","ဆံုလည္"
"type","အမ်ိဳးအစား"
"typewriter repair","လက္ႏွိပ္စက္ျပင္"
"U","Uniform"
"ultimate objective","အဆံုးသတ္ ရည္မွန္းခ်က္"
"ultimatum","ရာဇသံ"
"umpire","ဒိုင္လူႀကီး"
"unarmed combat","လက္နက္မဲ့ တိုက္ခိုက္ျခင္း"
"unauthorised person","မသက္ဆိုင္သူ"
"unclassified","တန္းမဲ့"
"unconditional surrender","ျခြင္းခ်က္မရွိ လက္နက္ခ်ျခင္း"
"under arrest","အခ်ဳပ္ခံေနရေသာ"
"under command","ကြပ္ကဲမႈေအာက္"
"undersigned","ေအာက္ပါလက္မွတ္ ေရးထိုးသူ"
"under study","ေလ့လာသူ"
"unexploded bomb","မေပါက္ကြဲေသာဗံုး"
"unified command, unity of command","တစ္ခုတည္းေသာ ကြပ္ကဲမႈ"
"unifrom(clothing)","စစ္ဝတ္စံု"
"unit imprest","တပ္ေဆာင္ေငြ"
"units of army","တပ္မေတာ္ လက္ေအာက္ခံတပ္မ်ား"
"unit of effort","တညီတညြတ္တည္း ႀကိဳးပမ္းမႈ"
"unserviceable","သံုးမရ(ပစၥည္း)"
"up, raise(arty air burst)","ျမွင့္"
"upgrading","အဆင့္ တိုးျမွင့္ျခင္း"
"uranium","ယူေရနီယံ"
"urgent","ခ်က္ျခင္း"
"user test","စမ္းသံုးၾကည့္ျခင္း"
"utility","အသံုးဝင္ၿခင္း"
"V","Victor"
"vacancy(course)","ေနရာလပ္ (သင္တန္း)"
"valid","ခိုင္လံုသည္"
"valid sentence","ခိုင္လံုေသာ စီရင္ခ်က္"
"vanguard","ေရွ႕ေျပးတပ္"
"variaton (composs)","ကြာျခားခ်က္"
"vehicle","ယာဥ္"
"vehicle mechanic","ယာဥ္ျပင္"
"vehicle section","ယာဥ္ျပင္ ဌာနစိတ္"
"verbal order","ႏႈတ္မိန္႕"
"verification roll","လူပံုစံျပ စာရင္း"
"vereylite(flame)","ဗယ္ရီ မီးက်ည္"
"vernacularization","ျမန္မာစာ ရံုးသံုးျပဳေရး"
"vertical envelopment","ေလေၾကာင္းဆင္း တိုက္စစ္"
"vital ground","အခ်က္အျခာျဖစ္ေသာ ေနရာ"
"view","သေဘာ အယူအဆ"
"view point","ရႈရပ္"
"vital","အခ်က္အျခာျဖစ္ေသာ"
"vocabulary","ေဝါဟာရ"
"volunteer","အေပ်ာ္တမ္း"
"voucher","ေဘာက္ခ်ာ၊ ေျပစာ"
"vulcanist","တိုင္ယာကၽြတ္ျပင္"
"vulnerable","အႏ ၱရာယ္ျဖစ္ဖြယ္ရာရွိျခင္း"
"W","Whiskey"
"waive","ေလ်ွာ္ပစ္သည္"
"walking wounded","သြားလာႏိုင္ေသာ ဒဏ္ရာရသူ"
"war crime","စစ္ရာဇဝတ္မႈ"
"war criminal","စစ္ရာဇဝတ္သား"
"war diary","ေန႔စဥ္ စစ္မွတ္တမ္း"
"war establishment(WE)","စစ္ဖြဲ႕စည္းပံုဇယား"
"war of attrition(protected war)","အမွည့္ေျခြ ေရရွည္စစ္"
"war of limited objective","ကန္႕သတ္ရည္မွန္းခ်က္စစ္"
"war of movement (mobile warfare)","လႈပ္ရွားစစ္"
"war of position (positional warfare)","ေနရာယူစစ္"
"war of substantive (WS)","စစ္အတြင္း မူလရာထူး"
"warehouse","ကုန္ေလွာင္ရံု"
"warhead","ယမ္းပါေသာ အပိုင္း၊ ယမ္းပိုင္း"
"warlike store","စစ္သံုးပစၥည္း"
"warned","သတိေပးသည္"
"warning order","သတိေပး အမိန္႕"
"warrant officer","အရာခံဗိုလ္"
"warranty expiry","အာမခံ သက္တမ္းကုန္"
"water discipline","ေရသံုးစည္းကမ္း"
"water point","ေရေဝစခန္း"
"water truck","ေရကား"
"weather","ဥတု"
"weather forecast","ဥတု ခန္႔မွန္းခ်က္"
"weekly operational casualties","၇ ရက္ တစ္ပတ္ တိုက္ပြဲျဖစ္စဥ္ ျပန္တမ္း"
"welder","သံဆက္"
"welder (acetylene)","သံဆက္ (ဓါတ္ေငြ႕)"
"welder (acetylene and electric)","သံဆက္ (ဓါတ္ေငြ႕ ႏွင့္ လွ်ပ္စစ္)"
"welder (electric)","သံဆက္ (လွ်ပ္စစ္)"
"welfare officer","သက္သာေခ်ာင္ခ်ိေရး အရာရွိ"
"wharf","သေဘၤာကပ္ ဆိပ္ခံ"
"wharfage","သေဘၤာကပ္ခ"
"wide front","က်ယ္ျပန္႕ေသာ စစ္မ်က္ႏွာ"
"wind correction","ေလႀကိဳခ်ိန္ျခင္း၊ ေလႀကိဳပစ္ျခင္း"
"wind deflection (artillery)","ေလေၾကာင့္ တိမ္းျခင္း"
"wind direction","ေလေၾကာင္း"
"windward","ေလသာ"
"wireless","ဝိုင္ယာလက္"
"wireless silence","အဆက္အသြယ္ ရပ္နားျခင္း"
"with effect from","မွစ၍"
"withdrawl, retrograde movement","ခြာစစ္"
"wintness","သက္ေသ"
"wintness (additional)","စာရင္းမတင္ရေသးေသာ သက္ေသ"
"wintness (prosecution)","တရားလိုျပ သက္ေသ"
"words of command","စစ္မိန္႕သံမ်ား"
"work order (repair)","စစ္ျပင္ ေတာင္းခံလႊာမ်ား"
"work ticket","သြားလာမႈ လက္မွတ္"
"work GE","ေဆာက္လုပ္ေရး"
"work order (work)","ေဆာက္လုပ္မႈ အမိန္႕"
"workshops","အလုပ္ရံုမ်ား"
"write-off","စာရင္း ပယ္ဖ်က္သည္"
"written order","အမိန္႕"
"written test","ေရးေျဖ စာေမးပြဲ"
"X","X-Ray"
"X list","ပယ္တရင္း၊ ၾကက္ေျခ(X) စာရင္း"
"Y","Yankee"
"yours ops 13 of 071330","သင့္ဦး ၁၃ ေန႕ခ်ိန္ ၀၇၁၃၃၀"
"Z","Zulu"
"zeroing","ခ်ိန္သီးညွိျခင္း"
"zones of action","စစ္ဆင္ေရးနယ္မ်ား"
"zones of advance","ခ်ီတက္မႈ နယ္မ်ား"
"zones of operations","စစ္ဆင္မႈ နယ္မ်ား"
"second lieutenant","ဒုဗိုလ္"
"lieutenant","ဗိုလ္"
"captain","ဗိုလ္ႀကီး"
"major","ဗိုလ္မွဴး"
"lieutenant colonel","ဒုဗိုလ္မွဴးႀကီး"
"colonel","ဗိုလ္မွဴးႀကီး"
"brigadier general","ဗိုလ္မွဴးခ်ဳပ္"
"major general","ဗိုလ္ခ်ဳပ္"
"lieutenant general","ဒုတိယဗိုလ္ခ်ဳပ္ႀကီး"
"general","ဗိုလ္ခ်ဳပ္ႀကီး"
"vice senior general","ဒုတိယဗိုလ္ခ်ဳပ္မွဴးႀကီး"
"senior general","ဗိုလ္ခ်ဳပ္မွဴးႀကီး"
"private","တပ္သား"
"á°lance coporal","ဒုတပ္ၾကပ္"
"coporal","တပ္ၾကပ္"
"sergeant","တပ္ၾကပ္ႀကီး"
"quarter master sergeant","တပ္ခြဲတပ္ၾကပ္ႀကီး"
"warrant officer I","ဒုအရာခံဗိုလ္"
"warrant officer II","အရာခံဗိုလ္"
"Commander in Chief of Defense Services","တပ္မေတာ္ကာကြယ္ေရးဦးစီးခ်ဳပ္"
"Deputy Commander in Chief of Defense Services","ဒုတိယတပ္မေတာ္ကာကြယ္ေရးဦးစီးခ်ဳပ္"
"Commander in Chief (Army)","ကာကြယ္ေရးဦးစီးခ်ဳပ္(ၾကည္း)"
"Commander in Chief (Navy)","ကာကြယ္ေရးဦးစီးခ်ဳပ္(ေရ)"
"Commander in Chief (Air)","ကာကြယ္ေရးဦးစီးခ်ဳပ္(ေလ)"
"Adjutant General","စစ္ေရးခ်ဳပ္"
"Quartermaster General","စစ္ေထာက္ခ်ဳပ္"
"Defense Services Inspector General","တပ္မေတာ္စစ္ေဆးေရးအရာရွိခ်ဳပ္"
"Chief of Armed Forces Training","တပ္မေတာ္ေလ့က်င့္ေရးအရာရွိခ်ဳပ္"
"Military Affairs Security (Chief)","တပ္မေတာ္စစ္ဘက္ဆိုင္ရာလံုၿခံဳေရးအရာရွိခ်ဳပ္"
"Chief of Staff (Army)","စစ္ဦးစီးအရာရွိခ်ဳပ္(ၾကည္း)"
"Chief of Staff (Navy)","စစ္ဦးစီးအရာရွိခ်ဳပ္(ေရ)"
"Chief of Staff (Air)","စစ္ဦးစီးအရာရွိခ်ဳပ္(ေလ)"
"Military Appointments General","စစ္ရာထူးခန္႔ခ်ဳပ္"
"Judge Advocate General","စစ္ဥပေဒခ်ဳပ္"
"Vice Adjutent General","တြဲဖက္စစ္ေရးခ်ဳပ္"
"Vice Quartermaster General","တြဲဖက္စစ္ေထာက္ခ်ဳပ္"
"Provost Marshal","တပ္မေတာ္တပ္ထိန္းခ်ဳပ္"
"Director of Ordinance","စစ္လက္နက္ပစၥည္းညႊန္ၾကားေရးမွဴး"
"Director of Military Enginerring","စစ္အင္ဂ်င္နီယာညႊန္ၾကားေရးမွဴး"
